id,title,category,description,image_url
1,Apple iPhone 14,Electronics,Latest Apple smartphone with A15 chip dual camera mobile phone high performance,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=500
2,Samsung Galaxy S23,Electronics,Android smartphone mobile phone with high resolution camera gaming and performance,https://images.unsplash.com/photo-1598327105666-5b89351aff97?w=500
3,HP Pavilion Laptop,Computers,Powerful laptop computer for coding gaming office work programming and development,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=500
4,Dell Inspiron Laptop,Computers,Professional laptop computer with Intel processor SSD coding office work and programming,https://images.unsplash.com/photo-1525547719571-a2d4ac8945e2?w=500
5,Sony Headphones,Accessories,Wireless bluetooth headphones with deep bass noise cancellation music audio and entertainment,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=500
6,Boat Earbuds,Accessories,Wireless bluetooth earbuds with deep bass audio music long battery life and entertainment,https://images.unsplash.com/photo-1583394838336-acd977736f90?w=500
7,Canon DSLR Camera,Camera,Professional DSLR camera for photography video shooting zoom lens and image capture,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?w=500
8,Nikon Camera,Camera,Digital DSLR camera with zoom lens photography image capture and professional shooting,https://images.unsplash.com/photo-1510127034890-ba27508e9f1c?w=500
9,Google Pixel 8,Electronics,Google smartphone with advanced camera AI features fast processor and bright display,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=500
10,OnePlus 12,Electronics,Android smartphone with powerful processor high refresh rate display fast charging and gaming performance,https://images.unsplash.com/photo-1598327105666-5b89351aff97?w=500
11,Xiaomi 14,Electronics,Premium Android smartphone with high resolution camera AMOLED display and fast performance,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=500
12,Nothing Phone 2,Electronics,Modern smartphone with unique design bright display wireless connectivity and smooth performance,https://images.unsplash.com/photo-1598327105666-5b89351aff97?w=500
13,Motorola Edge 50,Electronics,Android smartphone with curved display powerful camera long battery life and fast charging,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=500
14,Realme GT 6,Electronics,Performance smartphone with AMOLED display gaming processor fast charging and high refresh rate,https://images.unsplash.com/photo-1598327105666-5b89351aff97?w=500
15,iPhone 15,Electronics,Apple smartphone with advanced camera USB C connectivity powerful processor and premium display,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=500
16,Samsung Galaxy A55,Electronics,Mid range Android smartphone with AMOLED display camera system and long battery life,https://images.unsplash.com/photo-1598327105666-5b89351aff97?w=500
17,Google Pixel 8a,Electronics,Affordable Google smartphone with AI camera features clean Android software and OLED display,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=500
18,OnePlus Nord 4,Electronics,Android phone with fast processor AMOLED display large battery and fast charging,https://images.unsplash.com/photo-1598327105666-5b89351aff97?w=500
19,Lenovo IdeaPad Slim 5,Computers,Slim laptop for programming office work study multitasking and everyday productivity,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=500
20,ASUS VivoBook 15,Computers,Everyday laptop with Intel processor SSD storage office applications coding and study,https://images.unsplash.com/photo-1525547719571-a2d4ac8945e2?w=500
21,Acer Aspire 5,Computers,Versatile laptop for students programming office work browsing and multimedia,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=500
